"filename", "language", "JSON with Comments", "JavaScript", "TypeScript", "HTML", "JSON", "Prisma", "Python", "MS SQL", "comment", "blank", "total"
"e:\Workspace\Project-laptop-shop\sever\src\controllers\category.controllers.ts", "TypeScript", 0, 0, 141, 0, 0, 0, 0, 0, 168, 24, 333
"e:\Workspace\Project-laptop-shop\sever\src\controllers\file.controllers.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 1, 3, 25
"e:\Workspace\Project-laptop-shop\sever\src\controllers\news.controllers.ts", "TypeScript", 0, 0, 171, 0, 0, 0, 0, 0, 18, 18, 207
"e:\Workspace\Project-laptop-shop\sever\src\controllers\order.controllers.ts", "TypeScript", 0, 0, 172, 0, 0, 0, 0, 0, 8, 14, 194
"e:\Workspace\Project-laptop-shop\sever\src\controllers\payment.controllers.ts", "TypeScript", 0, 0, 158, 0, 0, 0, 0, 0, 78, 21, 257
"e:\Workspace\Project-laptop-shop\sever\src\controllers\permission.controllers.ts", "TypeScript", 0, 0, 88, 0, 0, 0, 0, 0, 6, 8, 102
"e:\Workspace\Project-laptop-shop\sever\src\controllers\product.controllers.ts", "TypeScript", 0, 0, 157, 0, 0, 0, 0, 0, 158, 20, 335
"e:\Workspace\Project-laptop-shop\sever\src\controllers\review.controllers.ts", "TypeScript", 0, 0, 112, 0, 0, 0, 0, 0, 15, 12, 139
"e:\Workspace\Project-laptop-shop\sever\src\controllers\role.controllers.ts", "TypeScript", 0, 0, 124, 0, 0, 0, 0, 0, 102, 26, 252
"e:\Workspace\Project-laptop-shop\sever\src\controllers\rolePermission.controllers.ts", "TypeScript", 0, 0, 113, 0, 0, 0, 0, 0, 6, 7, 126
"e:\Workspace\Project-laptop-shop\sever\src\controllers\user.controllers.ts", "TypeScript", 0, 0, 120, 0, 0, 0, 0, 0, 146, 23, 289
"e:\Workspace\Project-laptop-shop\sever\src\middleware\auth.middleware.ts", "TypeScript", 0, 0, 109, 0, 0, 0, 0, 0, 50, 18, 177
"e:\Workspace\Project-laptop-shop\sever\src\routes\README.md", "HTML", 0, 0, 0, 140, 0, 0, 0, 0, 0, 36, 176
"e:\Workspace\Project-laptop-shop\sever\src\routes\auth.routes.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 28, 7, 42
"e:\Workspace\Project-laptop-shop\sever\src\routes\cart.routes.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 40, 8, 86
"e:\Workspace\Project-laptop-shop\sever\src\routes\file.routes.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 2, 4, 13
"e:\Workspace\Project-laptop-shop\sever\src\routes\index.routes.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 111, 14, 146
"e:\Workspace\Project-laptop-shop\sever\src\routes\news.routes.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 7, 9, 27
"e:\Workspace\Project-laptop-shop\sever\src\routes\order.routes.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 72, 14, 100
"e:\Workspace\Project-laptop-shop\sever\src\routes\permission.routes.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 125, 22, 175
"e:\Workspace\Project-laptop-shop\sever\src\routes\product.routes.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 93, 17, 134
"e:\Workspace\Project-laptop-shop\sever\src\routes\review.routes.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 6, 8, 24
"e:\Workspace\Project-laptop-shop\sever\src\routes\user.routes.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 46, 9, 65
"e:\Workspace\Project-laptop-shop\sever\src\utils\hashPassword.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 5, 4, 18
"e:\Workspace\Project-laptop-shop\sever\src\utils\jwt.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 2, 5, 45
"e:\Workspace\Project-laptop-shop\sever\tsconfig.json", "JSON with Comments", 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"Total", "-", 16, 2854, 2885, 140, 121682, 151, 102, 132, 1945, 655, 130562
