Date : 2025-08-05 02:54:30
Directory : e:\Workspace\Project-laptop-shop\sever
Total : 68 files,  127962 codes, 1945 comments, 655 blanks, all 130562 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| e:\Workspace\Project-laptop-shop\sever\prisma\migrations\20250802174429_add_notification\migration.sql | MS SQL             |        132 |         26 |         38 |        196 |
| e:\Workspace\Project-laptop-shop\sever\prisma\schema.prisma                                            | Prisma             |        151 |          0 |         25 |        176 |
| e:\Workspace\Project-laptop-shop\sever\restore.js                                                      | JavaScript         |        103 |          8 |         15 |        126 |
| e:\Workspace\Project-laptop-shop\sever\seed_permissions.js                                             | JavaScript         |        365 |          0 |          6 |        371 |
| e:\Workspace\Project-laptop-shop\sever\src\app.ts                                                      | TypeScript         |        150 |         23 |         29 |        202 |
| e:\Workspace\Project-laptop-shop\sever\src\client.ts                                                   | TypeScript         |          3 |          0 |          3 |          6 |
| e:\Workspace\Project-laptop-shop\sever\src\config\Cache.ts                                             | TypeScript         |          4 |          0 |          2 |          6 |
| e:\Workspace\Project-laptop-shop\sever\src\config\multer.ts                                            | TypeScript         |         18 |          1 |          2 |         21 |
| e:\Workspace\Project-laptop-shop\sever\src\config\passport.ts                                          | TypeScript         |         20 |          0 |          3 |         23 |
| e:\Workspace\Project-laptop-shop\sever\src\config\socket.config.ts                                     | TypeScript         |          0 |          0 |          1 |          1 |
| e:\Workspace\Project-laptop-shop\sever\src\config\vnpay.ts                                             | TypeScript         |         17 |         18 |          7 |         42 |
| e:\Workspace\Project-laptop-shop\sever\src\controllers\auth.controllers.ts                             | TypeScript         |        105 |         16 |         16 |        137 |
| e:\Workspace\Project-laptop-shop\sever\src\controllers\cart.controllers.ts                             | TypeScript         |        246 |        151 |         41 |        438 |
| e:\Workspace\Project-laptop-shop\sever\src\controllers\category.controllers.ts                         | TypeScript         |        141 |        168 |         24 |        333 |
| e:\Workspace\Project-laptop-shop\sever\src\controllers\file.controllers.ts                             | TypeScript         |         21 |          1 |          3 |         25 |
| e:\Workspace\Project-laptop-shop\sever\src\controllers\news.controllers.ts                             | TypeScript         |        171 |         18 |         18 |        207 |
| e:\Workspace\Project-laptop-shop\sever\src\controllers\order.controllers.ts                            | TypeScript         |        172 |          8 |         14 |        194 |
| e:\Workspace\Project-laptop-shop\sever\src\controllers\payment.controllers.ts                          | TypeScript         |        158 |         78 |         21 |        257 |
| e:\Workspace\Project-laptop-shop\sever\src\controllers\permission.controllers.ts                       | TypeScript         |         88 |          6 |          8 |        102 |
| e:\Workspace\Project-laptop-shop\sever\src\controllers\product.controllers.ts                          | TypeScript         |        157 |        158 |         20 |        335 |
| e:\Workspace\Project-laptop-shop\sever\src\controllers\review.controllers.ts                           | TypeScript         |        112 |         15 |         12 |        139 |
| e:\Workspace\Project-laptop-shop\sever\src\controllers\role.controllers.ts                             | TypeScript         |        124 |        102 |         26 |        252 |
| e:\Workspace\Project-laptop-shop\sever\src\controllers\rolePermission.controllers.ts                   | TypeScript         |        113 |          6 |          7 |        126 |
| e:\Workspace\Project-laptop-shop\sever\src\controllers\user.controllers.ts                             | TypeScript         |        120 |        146 |         23 |        289 |
| e:\Workspace\Project-laptop-shop\sever\src\middleware\auth.middleware.ts                               | TypeScript         |        109 |         50 |         18 |        177 |
| e:\Workspace\Project-laptop-shop\sever\src\routes\README.md                                            | HTML               |        140 |          0 |         36 |        176 |
| e:\Workspace\Project-laptop-shop\sever\src\routes\auth.routes.ts                                       | TypeScript         |          7 |         28 |          7 |         42 |
| e:\Workspace\Project-laptop-shop\sever\src\routes\cart.routes.ts                                       | TypeScript         |         38 |         40 |          8 |         86 |
| e:\Workspace\Project-laptop-shop\sever\src\routes\file.routes.ts                                       | TypeScript         |          7 |          2 |          4 |         13 |
| e:\Workspace\Project-laptop-shop\sever\src\routes\index.routes.ts                                      | TypeScript         |         21 |        111 |         14 |        146 |
| e:\Workspace\Project-laptop-shop\sever\src\routes\news.routes.ts                                       | TypeScript         |         11 |          7 |          9 |         27 |
| e:\Workspace\Project-laptop-shop\sever\src\routes\order.routes.ts                                      | TypeScript         |         14 |         72 |         14 |        100 |
| e:\Workspace\Project-laptop-shop\sever\src\routes\permission.routes.ts                                 | TypeScript         |         28 |        125 |         22 |        175 |
| e:\Workspace\Project-laptop-shop\sever\src\routes\product.routes.ts                                    | TypeScript         |         24 |         93 |         17 |        134 |
| e:\Workspace\Project-laptop-shop\sever\src\routes\review.routes.ts                                     | TypeScript         |         10 |          6 |          8 |         24 |
| e:\Workspace\Project-laptop-shop\sever\src\routes\user.routes.ts                                       | TypeScript         |         10 |         46 |          9 |         65 |
| e:\Workspace\Project-laptop-shop\sever\src\utils\hashPassword.ts                                       | TypeScript         |          9 |          5 |          4 |         18 |
| e:\Workspace\Project-laptop-shop\sever\src\utils\jwt.ts                                                | TypeScript         |         38 |          2 |          5 |         45 |
| e:\Workspace\Project-laptop-shop\sever\tsconfig.json                                                   | JSON with Comments |         16 |          0 |          1 |         17 |
| Total                                                                                                  |                    |    127,962 |      1,945 |        655 |    130,562 |
+--------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
